,full_name,age,league,position,Current Club,Shooting,shot/goal conversion,Vision,Crossing,Dribbling,Possession,Interceptions,Tackling,Aerials won,pace,Defense,height_cm,weight_kg,preferred_foot,player_face_url,player_positions,club_name
3,Rafael Wihby Bracali,42,Liga NOS,Goalkeeper,Boavista FC,0.0,0.0,0.0,0.0,1.0622154779969653,32.98286454210195,2.464788732394367,1.5730337078651686,2.228767795778105,0.0,9.33476188007926,185.0,78.0,Right,https://cdn.sofifa.net/players/178/571/22_120.png,GK,Boavista FC
8,Pepe Reina,40,La Liga,Goalkeeper,Villarreal,0.0,0.0,0.0,0.0,0.7587253414264037,64.48690403294793,1.7605633802816905,0.0,1.063730084348641,0.0,16.724842327874367,188.0,92.0,Right,https://cdn.sofifa.net/players/024/630/23_120.png,GK,Villarreal
13,Kléper Laveran Lima Ferreira,40,Liga NOS,Defender,Porto,0.0,0.0,6.4646464646464645,1.1820330969267139,3.4901365705614573,85.04351424169349,38.73239436619719,39.10112359550561,17.86416935547336,69.6969696969697,55.47459278846914,188.0,79.0,Right,https://cdn.sofifa.net/players/120/533/23_120.png,CB,Porto
16,Claudio Andrés Bravo Muñoz,40,La Liga,Goalkeeper,Real Betis,0.0,0.0,0.0,0.0,0.0,19.78291991654369,5.985915492957748,0.0,1.950171821305842,0.0,6.134465873842199,184.0,80.0,Right,https://cdn.sofifa.net/players/174/543/23_120.png,GK,Real Betis
18,Dante,39,Ligue 1,Defender,Nice,5.59493178003336,5.454545454545453,6.666666666666667,0.0,2.883156297420334,89.41187521841718,39.43661971830987,42.92134831460674,15.104967197750703,1.5151515151515156,58.84611499090704,189.0,91.0,Left,https://cdn.sofifa.net/players/158/625/23_120.png,CB,Nice
20,Remko Pasveer,39,Eredivisie,Goalkeeper,Ajax,0.0,0.0,0.0,0.0,0.0,63.97434963765619,0.0,0.0,0.5200458190148912,0.0,15.987555452079544,187.0,88.0,Right,https://cdn.sofifa.net/players/162/328/23_120.png,GK,Ajax
21,Jose Fonte,39,Ligue 1,Defender,Lille,11.439100152418437,14.285714285714285,2.8282828282828283,0.0,2.1244309559939305,89.4623625742096,28.169014084507047,18.651685393258425,16.245164419670726,0.0,42.350313965921416,191.0,81.0,Right,https://cdn.sofifa.net/players/171/791/23_120.png,CB,Lille
22,Makoto Hasebe,39,Bundesliga,Midfielder,Eintracht Frankfurt,0.0,0.0,2.8282828282828283,0.0,0.0,85.6252143564378,38.73239436619719,31.011235955056176,6.97234845203311,31.818181818181813,51.197666769082076,180.0,72.0,Right,https://cdn.sofifa.net/players/181/098/23_120.png,"CB, CDM",Eintracht Frankfurt
24,Samir Handanovič,38,Serie A,Goalkeeper,Inter,0.0,0.0,1.4141414141414141,0.0,0.0,89.16984938010492,0.0,0.0,0.0,0.0,22.754508421914682,193.0,92.0,Right,https://cdn.sofifa.net/players/162/835/23_120.png,GK,Inter
26,Thiago Silva,38,Premier League,Defender,Chelsea,0.0,0.0,3.8383838383838382,0.0,1.6691957511380882,91.53241664450437,47.1830985915493,33.483146067415724,18.506732589943194,27.272727272727266,57.11236494464805,183.0,79.0,Right,https://cdn.sofifa.net/players/164/240/23_120.png,CB,Chelsea
31,Steve Mandanda,38,Ligue 1,Goalkeeper,Rennes,0.0,0.0,0.606060606060606,0.0,0.4552352048558422,54.32066191216819,0.0,0.0,1.6294539090486477,0.0,13.410094248064173,187.0,82.0,Right,https://cdn.sofifa.net/players/163/705/23_120.png,GK,Rennes
32,Łukasz Fabiański,38,Premier League,Goalkeeper,West Ham United,0.0,0.0,0.0,0.0,0.0,24.813224407558806,0.0,0.0,3.8327076256877817,0.0,5.51185906910284,190.0,83.0,Right,https://cdn.sofifa.net/players/164/835/23_120.png,GK,West Ham United
35,Luíz Carlos Martins Moreira,37,Liga NOS,Midfielder,Paços de Ferreira,0.0,0.0,13.737373737373737,4.0189125295508275,6.373292867981791,79.57220857668474,20.774647887323944,47.640449438202246,2.4504776812220004,33.33333333333333,52.20922627174107,175.0,65.0,Right,https://cdn.sofifa.net/players/148/403/23_120.png,"CM, CDM",Paços de Ferreira
36,Riad Nouri,37,Ligue 1,Forward,Ajaccio,8.917018118533214,8.474576271186441,26.86868686868687,31.442080378250587,9.711684370257968,57.07068889120444,24.295774647887324,26.29213483146067,4.985054596474105,0.0,36.16543630611899,0.0,0.0,,,,
37,Ashley Young,37,Premier League,Defender,Aston Villa,10.210105921166871,11.428571428571429,12.525252525252524,8.274231678486997,3.9453717754172994,64.66373687771457,34.15492957746479,50.561797752808985,4.478314094068371,56.06060606060606,54.255182679043486,175.0,65.0,Right,https://cdn.sofifa.net/players/152/908/23_120.png,"LB, RB, LM",Aston Villa
38,Francisco Guillermo Ochoa Magaña,37,Serie A,Goalkeeper,Salernitana,0.0,0.0,0.0,0.0,0.0,21.219153532157506,0.0,0.0,0.7800687285223368,0.0,4.493989573095316,185.0,78.0,Right,https://cdn.sofifa.net/players/140/233/23_120.png,GK,Salernitana
39,Burak Yılmaz,37,Eredivisie,Forward,Fortuna Sittard,34.68757436026059,15.416666666666668,23.838383838383834,2.836879432624113,6.828528072837633,59.99053210292254,2.8169014084507045,7.191011235955056,8.550144385698143,63.63636363636364,19.773687914709004,188.0,77.0,Right,https://cdn.sofifa.net/players/124/375/23_120.png,ST,Fortuna Sittard
40,Daniel Ciofani,37,Serie A,Forward,Cremonese,64.07390395958079,27.82258064516129,17.373737373737374,2.1276595744680846,0.0,35.8392887276503,5.985915492957748,11.46067415730337,21.375812922400858,33.33333333333333,16.80020747861173,191.0,82.0,Right,https://cdn.sofifa.net/players/178/475/23_120.png,ST,Cremonese
43,Raúl Albiol,37,La Liga,Defender,Villarreal,0.0,0.0,1.6161616161616161,0.0,3.1866464339908953,86.64885896558121,20.774647887323944,25.842696629213478,13.246450106983078,10.606060606060609,42.84193725308414,190.0,82.0,Right,https://cdn.sofifa.net/players/157/481/23_120.png,CB,Villarreal
44,Luka Modrić,37,La Liga,Midfielder,Real Madrid,29.68923476824154,23.863636363636363,43.838383838383834,18.203309692671393,14.871016691957513,90.72236060215769,20.070422535211268,24.269662921348313,4.4256048208430565,63.63636363636364,42.72651933675684,172.0,66.0,Right,https://cdn.sofifa.net/players/177/003/23_120.png,CM,Real Madrid
47,Jesús Navas,37,La Liga,Defender,Sevilla FC,0.0,0.0,23.030303030303028,23.640661938534276,6.22154779969651,71.99866956744754,30.281690140845075,20.44943820224719,5.334816532447592,84.84848484848484,39.123274526898456,172.0,60.0,Right,https://cdn.sofifa.net/players/146/536/22_120.png,"RB, RM",Sevilla FC
48,Adil Rami,37,Ligue 1,Defender,Troyes,0.0,0.0,3.4343434343434343,2.6004728132387704,3.4901365705614573,79.45200524803678,45.422535211267615,27.86516853932584,13.602448453608249,9.090909090909093,50.239336319554596,190.0,90.0,Right,https://cdn.sofifa.net/players/183/280/23_120.png,CB,Troyes
50,David Silva,37,La Liga,Midfielder,Real Sociedad,12.159952538056377,9.375,32.525252525252526,3.309692671394799,13.201820940819424,81.1801245907669,24.295774647887324,37.078651685393254,3.5856070258942956,45.45454545454545,48.29246346157154,173.0,67.0,Left,https://cdn.sofifa.net/players/168/542/23_120.png,"CAM, CM",Real Sociedad
53,Ciprian Tătărușanu,37,Serie A,Goalkeeper,AC Milan,0.0,0.0,2.424242424242424,0.0,0.0,60.97990767769011,2.1126760563380285,0.0,0.4875429553264605,0.0,15.890095277102223,198.0,90.0,Right,https://cdn.sofifa.net/players/201/325/22_120.png,GK,AC Milan
55,Anthony Losilla,37,Bundesliga,Midfielder,Bochum,10.727577176430689,9.210526315789474,9.292929292929292,1.6548463356973995,3.4901365705614573,46.67561389016518,42.95774647887325,58.65168539325842,23.702638796935588,0.0,56.94273687016897,0.0,0.0,,,,
56,Edin Džeko,37,Serie A,Forward,Inter,42.13244326111143,16.666666666666664,24.24242424242424,2.3640661938534278,4.704097116843703,53.935389213764154,7.394366197183099,3.595505617977528,17.054134145832464,48.484848484848484,17.934131676293358,193.0,80.0,Right,https://cdn.sofifa.net/players/180/930/23_120.png,ST,Inter
57,Mathieu Coutadeur,37,Ligue 1,Midfielder,Ajaccio,0.0,0.0,10.303030303030303,1.1820330969267139,3.4901365705614573,78.34628574281822,29.22535211267606,26.96629213483146,2.880253766851705,22.727272727272734,43.85861834565951,169.0,67.0,Right,https://cdn.sofifa.net/players/177/482/23_120.png,"CDM, CM",Ajaccio
58,Manuel Neuer,37,Bundesliga,Goalkeeper,FC Bayern München,0.0,0.0,0.0,0.0,0.0,83.23870581650417,0.0,0.0,1.950171821305842,0.0,21.19227074644341,193.0,93.0,Right,https://cdn.sofifa.net/players/167/495/23_120.png,GK,FC Bayern München
59,Sergio Ramos,37,Ligue 1,Defender,Paris Saint Germain,12.90443942814146,12.5,2.6262626262626263,3.073286052009456,2.5796661608497726,98.8092037990865,35.21126760563381,24.719101123595504,14.51826584842163,45.45454545454545,50.38374368622257,184.0,82.0,Right,https://cdn.sofifa.net/players/155/862/23_120.png,CB,Paris Saint Germain
61,Rúben Miguel Marques dos Santos Fernandes,37,Liga NOS,Defender,Gil Vicente,0.0,0.0,4.242424242424242,0.0,2.5796661608497726,79.5797829607767,49.647887323943664,13.93258426966292,14.538786702786304,39.39393939393939,44.386390328873006,187.0,81.0,Left,https://cdn.sofifa.net/players/018/115/23_120.png,CB,Gil Vicente
